Provinsi,Tahun,Rata-Rata
Kalimantan Timur,2000,N/A
Kalimantan Timur,2001,28.35
Kalimantan Timur,2002,28.05
Kalimantan Timur,2003,28.85
Kalimantan Timur,2004,29.43
Kalimantan Timur,2005,N/A
Kalimantan Timur,2006,N/A
Kalimantan Timur,2007,27.5
Kalimantan Timur,2008,26.7
Kalimantan Timur,2009,28.4
Kalimantan Timur,2010,27.1
Kalimantan Timur,2011,27.3
Kalimantan Timur,2012,28
Kalimantan Timur,2013,27.43
Kalimantan Timur,2014,27.7
Kalimantan Timur,2015,27.9
Kalimantan Timur,2016,N/A
Kalimantan Timur,2017,27.65
Kalimantan Timur,2018,29.6
Kalimantan Timur,2019,27.83
Kalimantan Timur,2020,27.87
Kalimantan Timur,2021,27.7
Kalimantan Timur,2022,27.2
Kalimantan Timur,2023,27.7
